,Level-1-text,Module-text,Sub-Process-text,Level 1 Process,Module,Sub Process,Num_words_Level-1-text,Num_words_Module-text,Num_words_Sub-Process-text,Level 1 Process-Code,Module-Code,Sub Process-Code
1112,r2r customer enhancement projects nan,managementcostaccounting r2r customer enhancement projects nan,co managementcostaccounting r2r customer enhancement projects nan,managementcostaccounting,co,costaccounting&control,5,6,7,8,10,8
1113,r2r customer enhancement projects nan,fixedasset&projectaccounting r2r customer enhancement projects nan,co fixedasset&projectaccounting r2r customer enhancement projects nan,fixedasset&projectaccounting,co,projectaccounting&env.remediation,5,6,7,4,10,28
1114,r2r customer enhancement projects nan,managementcostaccounting r2r customer enhancement projects nan,co managementcostaccounting r2r customer enhancement projects nan,managementcostaccounting,co,costaccounting&control,5,6,7,8,10,8
1115,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,mm vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,mm,vendorinvoicing,5,6,7,15,29,38
1116,r2r customer enhancement projects nan,fixedasset&projectaccounting r2r customer enhancement projects nan,ps fixedasset&projectaccounting r2r customer enhancement projects nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,5,6,7,4,33,6
1117,r2r customer enhancement projects nan,fixedasset&projectaccounting r2r customer enhancement projects nan,ps fixedasset&projectaccounting r2r customer enhancement projects nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,5,6,7,4,33,6
1118,r2r customer enhancement projects nan,fixedasset&projectaccounting r2r customer enhancement projects nan,ps fixedasset&projectaccounting r2r customer enhancement projects nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,5,6,7,4,33,6
1119,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,mm vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,mm,vendorinvoicing,5,6,7,15,29,38
1120,r2r customer enhancement projects nan,managementcostaccounting r2r customer enhancement projects nan,co managementcostaccounting r2r customer enhancement projects nan,managementcostaccounting,co,costaccounting&control,5,6,7,8,10,8
1121,r2r customer enhancement projects nan,managementcostaccounting r2r customer enhancement projects nan,co managementcostaccounting r2r customer enhancement projects nan,managementcostaccounting,co,costaccounting&control,5,6,7,8,10,8
1122,r2r customer enhancement projects nan,fixedasset&projectaccounting r2r customer enhancement projects nan,ps fixedasset&projectaccounting r2r customer enhancement projects nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,5,6,7,4,33,6
1123,r2r customer enhancement projects nan,fixedasset&projectaccounting r2r customer enhancement projects nan,ps fixedasset&projectaccounting r2r customer enhancement projects nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,5,6,7,4,33,6
1124,r2r customer enhancement projects nan,fixedasset&projectaccounting r2r customer enhancement projects nan,ps fixedasset&projectaccounting r2r customer enhancement projects nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,5,6,7,4,33,6
1125,r2r customer enhancement (menu exit) nan,managementcostaccounting r2r customer enhancement (menu exit) nan,co managementcostaccounting r2r customer enhancement (menu exit) nan,managementcostaccounting,co,costaccounting&control,6,7,8,8,10,8
1126,r2r customer enhancement (screen exit) nan,managementcostaccounting r2r customer enhancement (screen exit) nan,co managementcostaccounting r2r customer enhancement (screen exit) nan,managementcostaccounting,co,costaccounting&control,6,7,8,8,10,8
1127,r2r customer enhancement projects nan,fixedasset&projectaccounting r2r customer enhancement projects nan,ps fixedasset&projectaccounting r2r customer enhancement projects nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,5,6,7,4,33,6
1128,r2r customer enhancement projects nan,fixedasset&projectaccounting r2r customer enhancement projects nan,ps fixedasset&projectaccounting r2r customer enhancement projects nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,5,6,7,4,33,6
1129,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,ap vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,ap,payable&outgoingpayments,5,6,7,15,1,25
1130,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,mm vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,mm,vendorinvoicing,5,6,7,15,29,38
1131,r2r customer enhancement (menu exit) nan,fixedasset&projectaccounting r2r customer enhancement (menu exit) nan,ps fixedasset&projectaccounting r2r customer enhancement (menu exit) nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,6,7,8,4,33,6
1132,r2r customer enhancement (menu exit) nan,fixedasset&projectaccounting r2r customer enhancement (menu exit) nan,ps fixedasset&projectaccounting r2r customer enhancement (menu exit) nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,6,7,8,4,33,6
1133,r2r customer enhancement (screen exit) nan,fixedasset&projectaccounting r2r customer enhancement (screen exit) nan,ps fixedasset&projectaccounting r2r customer enhancement (screen exit) nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,6,7,8,4,33,6
1134,r2r customer enhancement (menu exit) nan,fixedasset&projectaccounting r2r customer enhancement (menu exit) nan,ps fixedasset&projectaccounting r2r customer enhancement (menu exit) nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,6,7,8,4,33,6
1135,r2r customer enhancement (menu exit) nan,fixedasset&projectaccounting r2r customer enhancement (menu exit) nan,ps fixedasset&projectaccounting r2r customer enhancement (menu exit) nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,6,7,8,4,33,6
1136,r2r customer enhancement (screen exit) nan,fixedasset&projectaccounting r2r customer enhancement (screen exit) nan,ps fixedasset&projectaccounting r2r customer enhancement (screen exit) nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,6,7,8,4,33,6
1137,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,ap vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,ap,payable&outgoingpayments,5,6,7,15,1,25
1138,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,mm vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,mm,vendorinvoicing,5,6,7,15,29,38
1139,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,mm vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,mm,vendorinvoicing,5,6,7,15,29,38
1140,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,mm vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,mm,vendorinvoicing,5,6,7,15,29,38
1141,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,mm vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,mm,vendorinvoicing,5,6,7,15,29,38
1142,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,ap vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,ap,vendorinvoicing,5,6,7,15,1,38
1143,r2r customer enhancement projects nan,customerinvoicing&ar r2r customer enhancement projects nan,sd customerinvoicing&ar r2r customer enhancement projects nan,customerinvoicing&ar,sd,customerinvoicing,5,6,7,2,41,10
1144,r2r customer enhancement (screen exit) nan,vendorinvoicing&ap r2r customer enhancement (screen exit) nan,mm vendorinvoicing&ap r2r customer enhancement (screen exit) nan,vendorinvoicing&ap,mm,vendorinvoicing,6,7,8,15,29,38
1145,r2r customer enhancement projects nan,customerinvoicing&ar r2r customer enhancement projects nan,ps customerinvoicing&ar r2r customer enhancement projects nan,customerinvoicing&ar,ps,customerinvoicing,5,6,7,2,33,10
1146,r2r customer enhancement projects nan,fixedasset&projectaccounting r2r customer enhancement projects nan,ps fixedasset&projectaccounting r2r customer enhancement projects nan,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,5,6,7,4,33,6
1147,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,mm vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,mm,vendorinvoicing,5,6,7,15,29,38
1148,r2r customer enhancement projects nan,vendorinvoicing&ap r2r customer enhancement projects nan,mm vendorinvoicing&ap r2r customer enhancement projects nan,vendorinvoicing&ap,mm,vendorinvoicing,5,6,7,15,29,38
1149,r2r customer enhancement projects nan,generalaccountingconsolidation&reporting r2r customer enhancement projects nan,gl generalaccountingconsolidation&reporting r2r customer enhancement projects nan,generalaccountingconsolidation&reporting,gl,generalaccounting,5,6,7,6,17,14
1150,r2r customer enhancement projects nan,customerinvoicing&ar r2r customer enhancement projects nan,sd customerinvoicing&ar r2r customer enhancement projects nan,customerinvoicing&ar,sd,customerinvoicing,5,6,7,2,41,10
1151,r2r customer enhancement (menu exit) nan,nan r2r customer enhancement (menu exit) nan,nan nan r2r customer enhancement (menu exit) nan,nan,nan,nan,6,7,8,11,30,24
1152,r2r customer enhancement (screen exit) nan,nan r2r customer enhancement (screen exit) nan,nan nan r2r customer enhancement (screen exit) nan,nan,nan,nan,6,7,8,11,30,24
1153,r2r customer enhancement (menu exit) nan,nan r2r customer enhancement (menu exit) nan,nan nan r2r customer enhancement (menu exit) nan,nan,nan,nan,6,7,8,11,30,24
1154,r2r customer enhancement (screen exit) nan,nan r2r customer enhancement (screen exit) nan,nan nan r2r customer enhancement (screen exit) nan,nan,nan,nan,6,7,8,11,30,24
1155,r2r customer enhancement projects nan,nan r2r customer enhancement projects nan,nan nan r2r customer enhancement projects nan,nan,nan,nan,5,6,7,11,30,24
1156,r2r customer enhancement projects nan,nan r2r customer enhancement projects nan,nan nan r2r customer enhancement projects nan,nan,nan,nan,5,6,7,11,30,24
1157,r2r customer enhancement projects nan,nan r2r customer enhancement projects nan,nan nan r2r customer enhancement projects nan,nan,nan,nan,5,6,7,11,30,24
1158,r2r customer enhancement projects nan,nan r2r customer enhancement projects nan,nan nan r2r customer enhancement projects nan,nan,nan,nan,5,6,7,11,30,24
1159,r2r print program: account statement report-header =======================================================================,customerinvoicing&ar(mbil) r2r print program: account statement report-header =======================================================================,fi customerinvoicing&ar(mbil) r2r print program: account statement report-header =======================================================================,customerinvoicing&ar(mbil),fi,reporting,7,8,9,3,16,33
1160,r2r print program: account statement report-header =======================================================================,customerinvoicing&ar(mbil) r2r print program: account statement report-header =======================================================================,fi customerinvoicing&ar(mbil) r2r print program: account statement report-header =======================================================================,customerinvoicing&ar(mbil),fi,reporting,7,8,9,3,16,33
1161,r2r print program: account statement : this program has been copied from standard program rfkord10 this will get called from f.27 -----------------------------------------------------------------,customerinvoicing&ar(mbil) r2r print program: account statement : this program has been copied from standard program rfkord10 this will get called from f.27 -----------------------------------------------------------------,fi customerinvoicing&ar(mbil) r2r print program: account statement : this program has been copied from standard program rfkord10 this will get called from f.27 -----------------------------------------------------------------,customerinvoicing&ar(mbil),fi,reporting,22,23,24,3,16,33
1162,r2r print program: account statement report-header =======================================================================,customerinvoicing&ar(mbil) r2r print program: account statement report-header =======================================================================,fi customerinvoicing&ar(mbil) r2r print program: account statement report-header =======================================================================,customerinvoicing&ar(mbil),fi,reporting,7,8,9,3,16,33
1163,r2r idoc invoice listing & report zfap_idoc_invoice_listing &,vendorinvoicing&ap r2r idoc invoice listing & report zfap_idoc_invoice_listing &,ap vendorinvoicing&ap r2r idoc invoice listing & report zfap_idoc_invoice_listing &,vendorinvoicing&ap,ap,vendorinvoicing,8,9,10,15,1,38
1164,r2r job to build table zr2r_on_transit with transfer posting & report zimwm_stock_in_transit_hist &,vendorinvoicing&ap r2r job to build table zr2r_on_transit with transfer posting & report zimwm_stock_in_transit_hist &,ap vendorinvoicing&ap r2r job to build table zr2r_on_transit with transfer posting & report zimwm_stock_in_transit_hist &,vendorinvoicing&ap,ap,inventoryaccounting,13,14,15,15,1,19
1165,r2r master sap cost collector table & zmppm_mstcostcoll & &--------------------------------------------------------------------- & this is to get the data from table zmpp_mstcostcoll and populate the & bukrs based on the condition ---------------------------------------------------------------------- modification log:,managementcostaccounting r2r master sap cost collector table & zmppm_mstcostcoll & &--------------------------------------------------------------------- & this is to get the data from table zmpp_mstcostcoll and populate the & bukrs based on the condition ---------------------------------------------------------------------- modification log:,co managementcostaccounting r2r master sap cost collector table & zmppm_mstcostcoll & &--------------------------------------------------------------------- & this is to get the data from table zmpp_mstcostcoll and populate the & bukrs based on the condition ---------------------------------------------------------------------- modification log:,managementcostaccounting,co,costaccounting&control,32,33,34,8,10,8
1166,"r2r customer invoice approval : this program is for a supervisors to view, then decide whether the customer invoice to be approved/rejecred. those that do not have right to approve/reject can view the worklists also. -----------------------------------------------------------------","customerinvoicing&ar(mbil) r2r customer invoice approval : this program is for a supervisors to view, then decide whether the customer invoice to be approved/rejecred. those that do not have right to approve/reject can view the worklists also. -----------------------------------------------------------------","ar customerinvoicing&ar(mbil) r2r customer invoice approval : this program is for a supervisors to view, then decide whether the customer invoice to be approved/rejecred. those that do not have right to approve/reject can view the worklists also. -----------------------------------------------------------------",customerinvoicing&ar(mbil),ar,accountsreceivable&incomingpayments,36,37,38,3,6,3
1167,r2r ap grir reconciliation report : this program is used to identify the open reconciliation items in the grir clearing account at the end of the month. this report will be also be used by the field users to identify invoices awaiting receipts for payment. -----------------------------------------------------------------,vendorinvoicing&ap r2r ap grir reconciliation report : this program is used to identify the open reconciliation items in the grir clearing account at the end of the month. this report will be also be used by the field users to identify invoices awaiting receipts for payment. -----------------------------------------------------------------,ap vendorinvoicing&ap r2r ap grir reconciliation report : this program is used to identify the open reconciliation items in the grir clearing account at the end of the month. this report will be also be used by the field users to identify invoices awaiting receipts for payment. -----------------------------------------------------------------,vendorinvoicing&ap,ap,inventoryaccounting,46,47,48,15,1,19
1168,r2r maintain billing due list : this is a copy of vf04 report with custom enhancements (gui status zvkdfs_alv is copied to function group 'z_r2r_reports') -----------------------------------------------------------------,customerinvoicing&ar(mbil) r2r maintain billing due list : this is a copy of vf04 report with custom enhancements (gui status zvkdfs_alv is copied to function group 'z_r2r_reports') -----------------------------------------------------------------,sd customerinvoicing&ar(mbil) r2r maintain billing due list : this is a copy of vf04 report with custom enhancements (gui status zvkdfs_alv is copied to function group 'z_r2r_reports') -----------------------------------------------------------------,customerinvoicing&ar(mbil),sd,customerinvoicing,26,27,28,3,41,10
1169,r2r p2p - invoice variance report : report to determine variance between invoice and purchase orders -----------------------------------------------------------------,vendorinvoicing&ap r2r p2p - invoice variance report : report to determine variance between invoice and purchase orders -----------------------------------------------------------------,ap vendorinvoicing&ap r2r p2p - invoice variance report : report to determine variance between invoice and purchase orders -----------------------------------------------------------------,vendorinvoicing&ap,ap,vendorinvoicing,17,18,19,15,1,38
1170,r2r r2r_128_mbil_sales_orders & report zr2r_mbil_sales_orders &,customerinvoicing&ar(mbil) r2r r2r_128_mbil_sales_orders & report zr2r_mbil_sales_orders &,ar customerinvoicing&ar(mbil) r2r r2r_128_mbil_sales_orders & report zr2r_mbil_sales_orders &,customerinvoicing&ar(mbil),ar,customerinvoicing,6,7,8,3,6,10
1171,r2r international payment medium - payment orders by edi : this report is used to resend ach remittance (this is a copy of report zfaprffoedi1 used in f110) -----------------------------------------------------------------,vendorinvoicing&ap r2r international payment medium - payment orders by edi : this report is used to resend ach remittance (this is a copy of report zfaprffoedi1 used in f110) -----------------------------------------------------------------,ap vendorinvoicing&ap r2r international payment medium - payment orders by edi : this report is used to resend ach remittance (this is a copy of report zfaprffoedi1 used in f110) -----------------------------------------------------------------,vendorinvoicing&ap,ap,payable&outgoingpayments,29,30,31,15,1,25
1172,r2r maintain billing due list : this is a copy of vf04 report with custom enhancements (gui status zvkdfs_alv is copied to function group 'z_r2r_reports') -----------------------------------------------------------------,customerinvoicing&ar(mbil) r2r maintain billing due list : this is a copy of vf04 report with custom enhancements (gui status zvkdfs_alv is copied to function group 'z_r2r_reports') -----------------------------------------------------------------,ar customerinvoicing&ar(mbil) r2r maintain billing due list : this is a copy of vf04 report with custom enhancements (gui status zvkdfs_alv is copied to function group 'z_r2r_reports') -----------------------------------------------------------------,customerinvoicing&ar(mbil),ar,customermaintenance&managecredit,26,27,28,3,6,11
1173,r2r dp91/dmr billed & unbilled report & zr2r_ar_unbill_rep &--------------------------------------------------------------------- & &--------------------------------------------------------------------- &--------------------------------------------------------------------- this displays billed and unbilled ----------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r dp91/dmr billed & unbilled report & zr2r_ar_unbill_rep &--------------------------------------------------------------------- & &--------------------------------------------------------------------- &--------------------------------------------------------------------- this displays billed and unbilled ----------------------------------------------------------------------,sd customerinvoicing&ar(mbil) r2r dp91/dmr billed & unbilled report & zr2r_ar_unbill_rep &--------------------------------------------------------------------- & &--------------------------------------------------------------------- &--------------------------------------------------------------------- this displays billed and unbilled ----------------------------------------------------------------------,customerinvoicing&ar(mbil),sd,customerinvoicing,18,19,20,3,41,10
1174,r2r usa: withholding tax report for 1099-misc official records on server/pc -> main purpose of report !!! if not downlaoded through alv buttons earlier,vendorinvoicing&ap r2r usa: withholding tax report for 1099-misc official records on server/pc -> main purpose of report !!! if not downlaoded through alv buttons earlier,ap vendorinvoicing&ap r2r usa: withholding tax report for 1099-misc official records on server/pc -> main purpose of report !!! if not downlaoded through alv buttons earlier,vendorinvoicing&ap,ap,1099taxwithholding/reporting,24,25,26,15,1,0
1175,r2r list of parked documents in sap systems for testing s (note 569650),vendorinvoicing&ap r2r list of parked documents in sap systems for testing s (note 569650),ap vendorinvoicing&ap r2r list of parked documents in sap systems for testing s (note 569650),vendorinvoicing&ap,ap,vendorinvoicing,13,14,15,15,1,38
1176,r2r treasurers cash report : treasure cash report -----------------------------------------------------------------,treasuryoperations r2r treasurers cash report : treasure cash report -----------------------------------------------------------------,tr treasuryoperations r2r treasurers cash report : treasure cash report -----------------------------------------------------------------,treasuryoperations,tr,bankmanagement,9,10,11,13,44,5
1177,r2r duplicate payment mis-match report & report zfap_duplicate_payment_mis &,vendorinvoicing&ap r2r duplicate payment mis-match report & report zfap_duplicate_payment_mis &,ap vendorinvoicing&ap r2r duplicate payment mis-match report & report zfap_duplicate_payment_mis &,vendorinvoicing&ap,ap,payable&outgoingpayments,9,10,11,15,1,25
1178,"r2r ryan eextract version 6.3 report zfr_eextract developer: d.becker, ryan description: the ryan eextract selects accounting documents for use in review and audit. it's also possible to download selected master data and configuration data.","generalaccountingconsolidation&reporting r2r ryan eextract version 6.3 report zfr_eextract developer: d.becker, ryan description: the ryan eextract selects accounting documents for use in review and audit. it's also possible to download selected master data and configuration data.","fi generalaccountingconsolidation&reporting r2r ryan eextract version 6.3 report zfr_eextract developer: d.becker, ryan description: the ryan eextract selects accounting documents for use in review and audit. it's also possible to download selected master data and configuration data.",generalaccountingconsolidation&reporting,fi,generalaccounting,34,35,36,6,16,14
1179,r2r new control report for interface 755 audit s. this report is a copy of existing report zfpsr_if755_ctrl_rep version ed3k914855 with code refactored for performance. &----------------------------------------------------------------,fixedasset&projectaccounting r2r new control report for interface 755 audit s. this report is a copy of existing report zfpsr_if755_ctrl_rep version ed3k914855 with code refactored for performance. &----------------------------------------------------------------,ps fixedasset&projectaccounting r2r new control report for interface 755 audit s. this report is a copy of existing report zfpsr_if755_ctrl_rep version ed3k914855 with code refactored for performance. &----------------------------------------------------------------,fixedasset&projectaccounting,ps,capitalprojectaccounting,26,27,28,4,33,7
1180,"r2r out of variance report : this report is used to process invoices; remove price block, and update po quantity and price -----------------------------------------------------------------","vendorinvoicing&ap r2r out of variance report : this report is used to process invoices; remove price block, and update po quantity and price -----------------------------------------------------------------","ap vendorinvoicing&ap r2r out of variance report : this report is used to process invoices; remove price block, and update po quantity and price -----------------------------------------------------------------",vendorinvoicing&ap,ap,vendorinvoicing,23,24,25,15,1,38
1181,r2r report to display invoice output process log & report zsd_invoice_mail_log,customerinvoicing&ar(mbil) r2r report to display invoice output process log & report zsd_invoice_mail_log,sd customerinvoicing&ar(mbil) r2r report to display invoice output process log & report zsd_invoice_mail_log,customerinvoicing&ar(mbil),sd,customerinvoicing,11,12,13,3,41,10
1182,r2r sales order approval report : to add an approval procedure to the sales order process ----------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r sales order approval report : to add an approval procedure to the sales order process ----------------------------------------------------------------------,sd customerinvoicing&ar(mbil) r2r sales order approval report : to add an approval procedure to the sales order process ----------------------------------------------------------------------,customerinvoicing&ar(mbil),sd,customerinvoicing,17,18,19,3,41,10
1183,r2r report to extract documents for 1099 misc reporting & zfap_r_1099__documents & &--------------------------------------------------------------------- title : to fetch documents which are relevant for 1099 misc tax ing,vendorinvoicing&ap r2r report to extract documents for 1099 misc reporting & zfap_r_1099__documents & &--------------------------------------------------------------------- title : to fetch documents which are relevant for 1099 misc tax ing,ap vendorinvoicing&ap r2r report to extract documents for 1099 misc reporting & zfap_r_1099__documents & &--------------------------------------------------------------------- title : to fetch documents which are relevant for 1099 misc tax ing,vendorinvoicing&ap,ap,1099taxwithholding/reporting,26,27,28,15,1,0
1184,r2r document status analysis & report zr2r_document_status &,generalaccountingconsolidation&reporting r2r document status analysis & report zr2r_document_status &,gl generalaccountingconsolidation&reporting r2r document status analysis & report zr2r_document_status &,generalaccountingconsolidation&reporting,gl,generalaccounting,8,9,10,6,17,14
1185,r2r display list of invoice documents & rmmr1mdi & \ &--------------------------------------------------------------------- & the generates an output list of posted and/or parked & invoices. & - additional selection criteria in expert mode & o display fi-document number & o invoice document with posting to g/l account & o invoice document with posting to material & o select-options plant &--------------------------------------------------------------------- &--------------------------------------------------------------------- & print program - zmprf_rmmr1mdi &--------------------------------------------------------------------- & e1dk903357 - print program for invoice reprint fax coversheet & &--------------------------------------------------------------------- ----------------------------------------------------------------------,vendorinvoicing&ap r2r display list of invoice documents & rmmr1mdi & \ &--------------------------------------------------------------------- & the generates an output list of posted and/or parked & invoices. & - additional selection criteria in expert mode & o display fi-document number & o invoice document with posting to g/l account & o invoice document with posting to material & o select-options plant &--------------------------------------------------------------------- &--------------------------------------------------------------------- & print program - zmprf_rmmr1mdi &--------------------------------------------------------------------- & e1dk903357 - print program for invoice reprint fax coversheet & &--------------------------------------------------------------------- ----------------------------------------------------------------------,ap vendorinvoicing&ap r2r display list of invoice documents & rmmr1mdi & \ &--------------------------------------------------------------------- & the generates an output list of posted and/or parked & invoices. & - additional selection criteria in expert mode & o display fi-document number & o invoice document with posting to g/l account & o invoice document with posting to material & o select-options plant &--------------------------------------------------------------------- &--------------------------------------------------------------------- & print program - zmprf_rmmr1mdi &--------------------------------------------------------------------- & e1dk903357 - print program for invoice reprint fax coversheet & &--------------------------------------------------------------------- ----------------------------------------------------------------------,vendorinvoicing&ap,ap,vendorinvoicing,78,79,80,15,1,38
1186,r2r environmental remediation: roll-over of un-used budgets & zr2r_ps_envrem_yr_end_rollover & &--------------------------------------------------------------------- to roll over un-used project budgets ----------------------------------------------------------------------,fixedasset&projectaccounting r2r environmental remediation: roll-over of un-used budgets & zr2r_ps_envrem_yr_end_rollover & &--------------------------------------------------------------------- to roll over un-used project budgets ----------------------------------------------------------------------,ps fixedasset&projectaccounting r2r environmental remediation: roll-over of un-used budgets & zr2r_ps_envrem_yr_end_rollover & &--------------------------------------------------------------------- to roll over un-used project budgets ----------------------------------------------------------------------,fixedasset&projectaccounting,ps,projectaccountingforenvironmentalremediation,18,19,20,4,33,30
1187,r2r vendor invoice upload creation with wht code : upload historical data fi data for wht tax mismatch. -----------------------------------------------------------------,vendorinvoicing&ap r2r vendor invoice upload creation with wht code : upload historical data fi data for wht tax mismatch. -----------------------------------------------------------------,ap vendorinvoicing&ap r2r vendor invoice upload creation with wht code : upload historical data fi data for wht tax mismatch. -----------------------------------------------------------------,vendorinvoicing&ap,ap,vendorinvoicing,19,20,21,15,1,38
1188,r2r invoice payment average & zr2r_invoice_payment_average & &--------------------------------------------------------------------- displays the average time taken to pay a sales invoice by the customer ----------------------------------------------------------------------,customerinvoicing&ar(mbil) r2r invoice payment average & zr2r_invoice_payment_average & &--------------------------------------------------------------------- displays the average time taken to pay a sales invoice by the customer ----------------------------------------------------------------------,ar customerinvoicing&ar(mbil) r2r invoice payment average & zr2r_invoice_payment_average & &--------------------------------------------------------------------- displays the average time taken to pay a sales invoice by the customer ----------------------------------------------------------------------,customerinvoicing&ar(mbil),ar,accountsreceivable&incomingpayments,22,23,24,3,6,3
1189,r2r automatic check or adjustment of values (projects) selection by positions?,fixedasset&projectaccounting r2r automatic check or adjustment of values (projects) selection by positions?,ps fixedasset&projectaccounting r2r automatic check or adjustment of values (projects) selection by positions?,fixedasset&projectaccounting,ps,projectaccountingforenvironmentalremediation,11,12,13,4,33,30
1190,r2r invoice attachment link & report zr2r_ar_inv_attach,customerinvoicing&ar(mbil) r2r invoice attachment link & report zr2r_ar_inv_attach,ar customerinvoicing&ar(mbil) r2r invoice attachment link & report zr2r_ar_inv_attach,customerinvoicing&ar(mbil),ar,customerinvoicing,7,8,9,3,6,10
1191,"r2r accounts payable 1099 report & :since the 1099 process involves both balance sheet and p&l accounts, & there is no single standard sap report that provides all of the & required information. &--------------------------------------------------------------------- change history ----------------------------------------------------------------------","vendorinvoicing&ap r2r accounts payable 1099 report & :since the 1099 process involves both balance sheet and p&l accounts, & there is no single standard sap report that provides all of the & required information. &--------------------------------------------------------------------- change history ----------------------------------------------------------------------","ap vendorinvoicing&ap r2r accounts payable 1099 report & :since the 1099 process involves both balance sheet and p&l accounts, & there is no single standard sap report that provides all of the & required information. &--------------------------------------------------------------------- change history ----------------------------------------------------------------------",vendorinvoicing&ap,ap,1099taxwithholding/reporting,37,38,39,15,1,0
1192,"r2r if755 remediation file creation program based on cji3 output & zfps_if755_remediation_file & &--------------------------------------------------------------------- & this can generate if755 file based on coep and cobk table data & if cji3 file option is used it will require fields as below format, & documentno,posting row,wbs element,doc. date,postg date,doctyp, & company code, cost element, value trancurr in tab delimited .txt file & + controlling area and posting dates on selection screen & else you can input the, controlling area, wbs, coep timestamp on selection screen &---------------------------------------------------------------------","fixedasset&projectaccounting r2r if755 remediation file creation program based on cji3 output & zfps_if755_remediation_file & &--------------------------------------------------------------------- & this can generate if755 file based on coep and cobk table data & if cji3 file option is used it will require fields as below format, & documentno,posting row,wbs element,doc. date,postg date,doctyp, & company code, cost element, value trancurr in tab delimited .txt file & + controlling area and posting dates on selection screen & else you can input the, controlling area, wbs, coep timestamp on selection screen &---------------------------------------------------------------------","ps fixedasset&projectaccounting r2r if755 remediation file creation program based on cji3 output & zfps_if755_remediation_file & &--------------------------------------------------------------------- & this can generate if755 file based on coep and cobk table data & if cji3 file option is used it will require fields as below format, & documentno,posting row,wbs element,doc. date,postg date,doctyp, & company code, cost element, value trancurr in tab delimited .txt file & + controlling area and posting dates on selection screen & else you can input the, controlling area, wbs, coep timestamp on selection screen &---------------------------------------------------------------------",fixedasset&projectaccounting,ps,capitalprojectaccounting,84,85,86,4,33,7
1193,r2r interface to send invoices to citi bank portal & zfap_cust_sales_invoices & fit to hana upgrade &--------------------------------------------------------------------- title : interface to send invoice to citi bank portal,customerinvoicing&ar(mbil) r2r interface to send invoices to citi bank portal & zfap_cust_sales_invoices & fit to hana upgrade &--------------------------------------------------------------------- title : interface to send invoice to citi bank portal,ar customerinvoicing&ar(mbil) r2r interface to send invoices to citi bank portal & zfap_cust_sales_invoices & fit to hana upgrade &--------------------------------------------------------------------- title : interface to send invoice to citi bank portal,customerinvoicing&ar(mbil),ar,customerinvoicing,27,28,29,3,6,10
1194,r2r journal entry upload : this program is to upload journal entry data file and auto create journal entries into sap. -----------------------------------------------------------------,generalaccountingconsolidation&reporting r2r journal entry upload : this program is to upload journal entry data file and auto create journal entries into sap. -----------------------------------------------------------------,gl generalaccountingconsolidation&reporting r2r journal entry upload : this program is to upload journal entry data file and auto create journal entries into sap. -----------------------------------------------------------------,generalaccountingconsolidation&reporting,gl,generalaccounting,22,23,24,6,17,14
